,month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance,response
28,4,25,2019,25/04/2019,41.43704,-83.04034,0,M,1787.708333,50.62217932,c,,
29,4,25,2019,25/04/2019,41.43719,-83.04134,0,M,1787.708333,50.62217932,c,,
30,4,26,2019,26/04/2019,41.43601,-83.03011,0,M,3811.458333,107.9283033,c,,
31,5,15,2019,15/05/2019,41.42008,-83.07553,1,LM,2743.125,77.676522,c,,
32,5,15,2019,15/05/2019,41.4185,-83.07523,0,LM,2743.125,77.676522,c,,
33,5,15,2019,15/05/2019,41.41942,-83.07997,0,LM,2743.125,77.676522,c,,
34,5,21,2019,21/05/2019,41.41802,-83.08364,0,LM,1146.458333,32.46403132,b,,
35,5,21,2019,21/05/2019,41.41966,-83.07347,0,LM,1146.458333,32.46403132,b,,
36,5,29,2019,29/05/2019,41.41827,-83.0835,0,LM,1075.90625,30.4662221,b,,
37,5,29,2019,29/05/2019,41.41516,-83.08519,0,LM,1075.90625,30.4662221,b,,
38,5,31,2019,31/05/2019,41.34191,-83.10882,1,FM,1616.145833,45.76407832,b,,
39,6,20,2019,20/06/2019,41.3507,-83.1098,0,FM,9324.375,264.036462,d,,
40,6,20,2019,20/06/2019,41.35576,-83.10421,0,FM,9324.375,264.036462,d,,
41,6,20,2019,20/06/2019,41.35445,-83.10703,0,FM,9324.375,264.036462,d,,
42,6,25,2019,25/06/2019,41.35506,-83.10428,0,FM,1810.416667,51.26520668,c,,
43,6,25,2019,25/06/2019,41.35192,-83.11195,0,FM,1810.416667,51.26520668,c,,
44,6,25,2019,25/06/2019,41.35309,-83.11042,0,FM,1810.416667,51.26520668,c,,
45,6,25,2019,25/06/2019,41.35622,-83.10557,0,FM,1810.416667,51.26520668,c,,
46,6,25,2019,25/06/2019,41.34784,-83.11131,0,FM,1810.416667,51.26520668,c,,
47,6,25,2019,25/06/2019,41.35416,-83.10455,0,FM,1810.416667,51.26520668,c,,
48,6,25,2019,25/06/2019,41.35621,-83.10619,0,FM,1810.416667,51.26520668,c,,
49,6,26,2019,26/06/2019,41.43628,-83.04121,0,M,1144.15625,32.3988437,b,,
50,6,26,2019,26/06/2019,41.43466,-83.04232,0,M,1144.15625,32.3988437,b,,
51,6,26,2019,26/06/2019,41.4384,-83.03847,0,M,1144.15625,32.3988437,b,,
52,6,26,2019,26/06/2019,41.42006,-83.07517,0,LM,1144.15625,32.3988437,b,,
53,6,26,2019,26/06/2019,41.41232,-83.07301,0,LM,1144.15625,32.3988437,b,,
54,6,26,2019,26/06/2019,41.4141,-83.09228,0,LM,1144.15625,32.3988437,b,,
55,6,26,2019,26/06/2019,41.41744,-83.08574,0,LM,1144.15625,32.3988437,b,,
56,6,26,2019,26/06/2019,41.41693,-83.07201,0,LM,1144.15625,32.3988437,b,,
57,6,26,2019,26/06/2019,41.41767,-83.08613,0,LM,1144.15625,32.3988437,b,,
58,6,26,2019,26/06/2019,41.41554,-83.08978,1,LM,1144.15625,32.3988437,b,,
59,8,7,2019,8/7/2019,41.41625,-83.08634,0,LM,1210.3125,34.272177,b,,
60,8,7,2019,8/7/2019,41.42035,-83.07765,2,LM,1210.3125,34.272177,b,,
61,8,7,2019,8/7/2019,41.42035,-83.07765,2,LM,1210.3125,34.272177,b,,
62,8,7,2019,8/7/2019,41.41844,-83.07456,0,LM,1210.3125,34.272177,b,,
63,8,7,2019,8/7/2019,41.4235,-83.06561,2,LM,1210.3125,34.272177,b,,
64,8,7,2019,8/7/2019,41.4235,-83.06561,2,LM,1210.3125,34.272177,b,,
65,7,17,2019,17/07/2019,41.43304,-83.04287,0,M,918.375,26.0054412,b,,
66,7,17,2019,17/07/2019,41.41995,-83.07488,0,LM,918.375,26.0054412,b,,
