month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance
5,25,2021,5/25/2021,41.43427198,-83.04244724,0,M,,,,61.59664311
5,27,2021,5/27/2021,41.41687136,-83.08538284,0,LM,,,,983.0482091
5,27,2021,5/27/2021,41.41704165,-83.08513932,0,LM,,,,919.5985939
5,27,2021,5/27/2021,41.40567,-83.08026,1,LM,,,,56.60780168
5,27,2021,5/27/2021,41.39579292,-83.10353117,1,UM,,,,1264.786335
5,27,2021,5/27/2021,41.39577087,-83.10341945,1,UM,,,,946.1618878
5,27,2021,5/27/2021,41.38978055,-83.08659962,1,UM,,,,707.1787892
5,27,2021,5/27/2021,41.39102782,-83.08762634,2,UM,,,,562.3270976
5,27,2021,5/27/2021,41.38710314,-83.08534481,1,UM,,,,740.4166447
5,27,2021,5/27/2021,41.38885456,-83.08557438,0,UM,,,,945.425695
5,27,2021,5/27/2021,41.38679298,-83.09181406,0,UM,,,,580.8976722
5,27,2021,5/27/2021,41.3860571,-83.09361938,1,UM,,,,816.920194
5,27,2021,5/27/2021,41.37261244,-83.09506986,1,FM,,,,419.4999364
5,27,2021,5/27/2021,41.37813981,-83.09524592,0,FM,,,,370.2289819
5,27,2021,5/27/2021,41.38040816,-83.09603717,1,FM,,,,580.8976722
5,27,2021,5/27/2021,41.38038914,-83.09590901,1,FM,,,,1160.219165
6,1,2021,6/1/2021,41.40625166,-83.0795454,0,LM,,,,573.8385936
6,1,2021,6/1/2021,41.41155,-83.0788,0,LM,,,,559.9523708
6,1,2021,6/1/2021,41.38990537,-83.10283986,0,UM,,,,580.8976722
6,1,2021,6/1/2021,41.38890637,-83.08551264,0,UM,,,,996.6830059
6,1,2021,6/1/2021,41.38874683,-83.08561758,0,UM,,,,948.0995804
6,1,2021,6/1/2021,41.38581149,-83.09442592,0,UM,,,,651.874798
6,1,2021,6/1/2021,41.45046482,-83.02350295,0,M,,,,712.1550078
6,1,2021,6/1/2021,41.38002406,-83.09586625,0,FM,,,,1097.073985
6,1,2021,6/1/2021,41.44164,-83.03345,0,M,,,,870.8994072
6,1,2021,6/1/2021,41.4368,-83.0601,0,M,,,,3799.277859
6,2,2021,6/2/2021,41.59283,-83.58354,0,M,,,,580.8976722
6,2,2021,6/2/2021,41.3512429,-83.10871658,0,FM,,,,682.1210118
6,2,2021,6/2/2021,41.35117969,-83.10883288,0,FM,,,,688.1837179
6,2,2021,6/2/2021,41.36181337,-83.10107297,0,FM,,,,236.0438472
6,2,2021,6/2/2021,41.35165339,-83.11154009,0,FM,,,,772.2572111
6,2,2021,6/2/2021,41.351887,-83.11168307,0,FM,,,,842.3469108
6,3,2021,6/3/2021,41.41722709,-83.08502407,0,LM,,,,277.2078266
6,3,2021,6/3/2021,41.39613058,-83.10352515,0,UM,,,,1225.407973
6,3,2021,6/3/2021,41.39604942,-83.10358048,0,UM,,,,1086.737892
6,3,2021,6/3/2021,41.39370847,-83.09425297,0,UM,,,,734.9438804
6,3,2021,6/3/2021,41.39352646,-83.09331747,0,UM,,,,45.60778119
6,3,2021,6/3/2021,41.38710811,-83.0911141,0,UM,,,,996.5165619
6,3,2021,6/3/2021,41.38598673,-83.08877774,1,UM,,,,580.8976722
6,3,2021,6/3/2021,41.3842835,-83.09721377,0,UM,,,,476.7289041
6,3,2021,6/3/2021,41.36709802,-83.10696814,0,FM,,,,568.9575882
6,3,2021,6/3/2021,41.36409144,-83.10577279,0,FM,,,,354.490572
6,3,2021,6/3/2021,41.37024638,-83.10190134,0,FM,,,,917.465658
6,3,2021,6/3/2021,41.3632,-83.10484,0,FM,,,,383.3884175
6,3,2021,6/3/2021,41.35093064,-83.10943424,0,FM,,,,752.1599696
6,3,2021,6/3/2021,41.36016677,-83.100431,0,FM,,,,564.0640706
6,3,2021,6/3/2021,41.42009823,-83.07744882,0,LM,,,,646.8879139
6,4,2021,6/4/2021,41.3925996,-83.10663151,0,UM,,,,230.049746
6,4,2021,6/4/2021,41.39376097,-83.09790778,0,UM,,,,855.0892996
6,4,2021,6/4/2021,41.38674,-83.090875,1,UM,,,,1017.783752
6,4,2021,6/4/2021,41.3854055,-83.09541267,0,UM,,,,312.1354213
6,4,2021,6/4/2021,41.36753435,-83.10669531,0,FM,,,,565.5539468
6,4,2021,6/4/2021,41.35932137,-83.10022286,0,FM,,,,390.5924114
6,4,2021,6/4/2021,41.44419374,-83.03202333,0,M,,,,680.5059754
6,4,2021,6/4/2021,41.4255433,-83.05383778,0,M,,,,396.2254279
6,7,2021,6/7/2021,41.44554711,-83.01109669,0,M,,,,698.8208991
6,7,2021,6/7/2021,41.39392942,-83.09878277,0,UM,,,,765.5590698
6,7,2021,6/7/2021,41.38504705,-83.0959265,2,UM,,,,576.8263112
6,7,2021,6/7/2021,41.4482493,-83.0290271,0,M,,,,506.7493023
6,8,2021,6/8/2021,41.39309807,-83.10650613,0,UM,,,,570.5428875
6,8,2021,6/8/2021,41.386797,-83.09102209,0,UM,,,,467.0942861
6,8,2021,6/8/2021,41.38404906,-83.09692546,0,UM,,,,682.6433102
6,9,2021,6/9/2021,41.37186028,-83.09514001,0,FM,,,,762.7686185
6,11,2021,6/11/2021,41.37552703,-83.09537393,0,FM,,,,498.1732507
6,16,2021,6/16/2021,41.40272,-83.0925,0,UM,,,,583.8782942
6,16,2021,6/16/2021,41.3748,-83.37129,0,UM,,,,580.8976722
6,16,2021,6/16/2021,41.37124,-83.09548,0,FM,,,,26.00179809
6,16,2021,6/16/2021,41.38043,-83.37488,1,FM,,,,580.8976722
6,16,2021,6/16/2021,41.5558,-83.35337,0,FM,,,,580.8976722
6,21,2021,6/21/2021,41.40662875,-83.07908069,0,LM,,,,488.0172171
6,21,2021,6/21/2021,41.40680321,-83.07903998,0,LM,,,,432.3576501
6,21,2021,6/21/2021,41.3963065,-83.10326767,0,UM,,,,458.9857209
6,21,2021,6/21/2021,41.39901951,-83.09860676,0,UM,,,,380.0888031
6,21,2021,6/21/2021,41.39343627,-83.10697215,0,UM,,,,463.4574404
6,21,2021,6/21/2021,41.39243994,-83.10117975,0,UM,,,,427.2697233
6,21,2021,6/21/2021,41.38951738,-83.10505462,0,UM,,,,483.0223875
6,21,2021,6/21/2021,41.39361813,-83.09608844,0,UM,,,,473.6654239
6,21,2021,6/21/2021,41.38564,-83.08595,0,UM,,,,472.6260006
6,21,2021,6/21/2021,41.38496,-83.09683,0,UM,,,,468.1134372
6,21,2021,6/21/2021,41.37591,-83.09491,0,FM,,,,311.2100211
6,21,2021,6/21/2021,41.3692,-83.10575,0,FM,,,,365.0681089
6,21,2021,6/21/2021,41.36211,-83.10362,0,FM,,,,298.2675845
6,21,2021,6/21/2021,41.36443,-83.10677,0,FM,,,,490.8893583
