month,day,year,cdate,lat,long,count,segment,dischcf,dischcm,discbins,efish_distance,response
7,14,2022,7/14/2022,41.42785609,-83.04748227,0,M,,,,99.3289866,Sustained
8,1,2022,8/1/2022,41.39265421,-83.0919218,0,UM,,,,91.15564638,Sustained
6,27,2022,6/27/2022,41.437366,-83.042449,0,M,,,,397.7521756,Random
5,2,2022,5/2/2022,41.42806,-83.06059,0,LM,,,,139.5599856,Bait/Attractant
8,22,2022,8/22/2022,41.42195634,-83.06363086,0,LM,,,,247.8301935,Bait/Attractant
5,13,2022,5/13/2022,41.40537916,-83.08042389,0,LM,,,,356.9510119,Non-Random
6,29,2022,6/29/2022,41.35938,-83.100687,0,FM,,,,250.5460838,Random
7,19,2022,7/19/2022,41.39105175,-83.10589342,0,UM,,,,460.4807374,Random
7,19,2022,7/19/2022,41.40009265,-83.09679011,0,UM,,,,463.4009007,Random
6,23,2022,6/23/2022,41.43862183,-83.03151213,0,M,,,,1151.202643,Non-Random
8,3,2022,8/3/2022,41.41855279,-83.08310889,0,LM,,,,103.7674711,Sustained
7,13,2022,7/13/2022,41.40777321,-83.07869392,0,LM,,,,152.0834409,Sustained
8,7,2022,8/7/2022,41.4187809,-83.07089116,0,LM,,,,635.6135098,Non-Random
7,25,2022,7/25/2022,41.40527434,-83.08065169,0,LM,,,,207.8093349,Non-Random
7,14,2022,7/14/2022,41.43768465,-83.03164136,0,M,,,,400.4373794,Sustained
6,23,2022,6/23/2022,41.3847536,-83.09573201,0,UM,,,,321.165554,Non-Random
7,12,2022,7/12/2022,41.35559586,-83.10410722,0,FM,,,,303.1702693,Sustained
8,22,2022,8/22/2022,41.39836108,-83.10083126,0,UM,,,,489.1491483,Bait/Attractant
8,11,2022,8/11/2022,41.42646073,-83.06238619,0,LM,,,,415.3663493,Non-Random
5,17,2022,5/17/2022,41.42345599,-83.06512125,0,LM,,,,244.3267005,Non-Random
8,1,2022,8/1/2022,41.36454834,-83.10608783,0,FM,,,,438.6801714,Sustained
7,5,2022,7/5/2022,41.68840228,-83.39897378,0,FM,,,,320.5800744,Non-Random
9,12,2022,9/12/2022,41.35434061,-83.10756059,0,FM,,,,106.2472681,Sustained
7,26,2022,7/26/2022,41.37341433,-83.09476951,0,FM,,,,189.3173593,Non-Random
7,20,2022,7/20/2022,41.374034,-83.09565202,0,FM,,,,517.1312141,Random
5,2,2022,5/2/2022,41.40494,-83.08108,0,LM,,,,325.5703935,Bait/Attractant
7,25,2022,7/25/2022,41.42266267,-83.06331035,0,LM,,,,158.9912327,Non-Random
7,13,2022,7/13/2022,41.39970162,-83.09900816,0,UM,,,,561.7528172,Sustained
8,23,2022,8/23/2022,41.39089145,-83.10327817,0,UM,,,,354.6813514,Random
5,2,2022,5/2/2022,41.4232237,-83.0652613,0,LM,,,,252.5082993,Bait/Attractant
6,29,2022,6/29/2022,41.3913843,-83.08832,0,UM,,,,31.68211042,Non-Random
9,12,2022,9/12/2022,41.35699789,-83.10194267,0,FM,,,,120.4398841,Sustained
6,21,2022,6/21/2022,41.43913272,-83.03106809,1,M,,,,1492.639711,Non-Random
7,5,2022,7/5/2022,41.3954,-83.1048,0,UM,,,,395.5124068,Random
6,24,2022,6/24/2022,41.43596517,-83.04110169,0,M,,,,470.2355467,Bait/Attractant
7,11,2022,7/11/2022,41.38945,-83.10509,0,UM,,,,341.7970499,Non-Random
7,14,2022,7/14/2022,41.4331196,-83.0427796,0,M,,,,98.42167666,Sustained
7,20,2022,7/20/2022,41.41426706,-83.08575635,0,LM,,,,423.6835923,Random
8,11,2022,8/11/2022,41.39051814,-83.08724364,0,UM,,,,262.5533249,Non-Random
8,16,2022,8/16/2022,41.39343044,-83.09219557,0,UM,,,,271.3912781,Non-Random
5,17,2022,5/17/2022,41.42714459,-83.06104279,0,LM,,,,340.1132868,Non-Random
7,11,2022,7/11/2022,41.42713157,-83.06248155,0,LM,,,,286.6650645,Bait/Attractant
8,1,2022,8/1/2022,41.363106,-83.10436497,0,FM,,,,124.4417653,Sustained
8,15,2022,8/15/2022,41.42028304,-83.07741943,0,LM,,,,400.9521394,Random
8,3,2022,8/3/2022,41.41094379,-83.07897234,0,LM,,,,548.6852155,Sustained
8,17,2022,8/17/2022,41.39836494,-83.10072538,0,UM,,,,392.1780906,Random
9,12,2022,9/12/2022,41.39340178,-83.09785587,0,UM,,,,655.3756042,Sustained
10,13,2022,10/13/2022,41.36048378,-83.10042735,0,FM,,,,91.85686325,Sustained
8,1,2022,8/1/2022,41.40136002,-83.09447178,0,UM,,,,539.0248634,Sustained
8,18,2022,8/18/2022,41.45241376,-83.02264516,0,M,,,,709.9756379,Non-Random
8,1,2022,8/1/2022,41.4019267,-83.09081857,0,UM,,,,75.40012445,Sustained
5,19,2022,5/19/2022,41.42178671,-83.06799933,0,LM,,,,170.818592,Bait/Attractant
6,23,2022,6/23/2022,41.57098,-83.63984,0,FM,,,,429.5,Sustained
5,16,2022,5/16/2022,41.4234,-83.066,0,LM,,,,603.6737782,Non-Random
10,4,2022,10/4/2022,41.4159334,-83.08641186,0,LM,,,,386.9099926,Random
5,13,2022,5/13/2022,41.41549647,-83.0852531,0,LM,,,,301.5525096,Non-Random
7,14,2022,7/14/2022,41.43771086,-83.0326004,0,M,,,,116.4367643,Sustained
8,17,2022,8/17/2022,41.41312358,-83.08400307,0,LM,,,,548.9834794,Random
8,30,2022,8/30/2022,41.41589311,-83.08635214,0,LM,,,,325.5352704,Random
7,5,2022,7/5/2022,41.393,-83.1066,0,UM,,,,404.5966325,Random
8,1,2022,8/1/2022,41.39835301,-83.10069897,0,UM,,,,14.44061349,Sustained
7,18,2022,7/18/2022,41.37549257,-83.09582915,0,FM,,,,478.4539649,Random
5,19,2022,5/19/2022,41.42878308,-83.04919027,0,M,,,,43.76570768,Bait/Attractant
7,11,2022,7/11/2022,41.4223138,-83.06497747,0,LM,,,,238.3271651,Bait/Attractant
9,8,2022,9/8/2022,41.42193759,-83.06969138,0,LM,,,,321.5513364,Bait/Attractant
7,21,2022,7/21/2022,41.42972165,-83.06133313,0,LM,,,,248.3828673,Random
9,6,2022,9/6/2022,41.41490929,-83.08625786,0,LM,,,,282.3508382,Random
8,8,2022,8/8/2022,41.43373871,-83.02969605,0,M,,,,1098.620036,Non-Random
6,27,2022,6/27/2022,41.37770002,-83.09613568,0,FM,,,,394.7699949,Random
10,10,2022,10/10/2022,41.42087432,-83.06945918,2,LM,,,,271.5572194,Sustained
9,14,2022,9/14/2022,41.41960744,-83.07319229,0,LM,,,,682.8314985,Sustained
9,28,2022,9/28/2022,41.41882764,-83.07087336,0,LM,,,,269.4860701,Non-Random
9,12,2022,9/12/2022,41.38548333,-83.08838644,0,UM,,,,98.14761954,Sustained
9,12,2022,9/12/2022,41.35645119,-83.10312514,0,FM,,,,310.6833111,Sustained
7,25,2022,7/25/2022,41.39415702,-83.10716001,0,UM,,,,191.8912696,Non-Random
7,25,2022,7/25/2022,41.39101,-83.103,0,UM,,,,304.2399573,Non-Random
8,31,2022,8/31/2022,41.37194613,-83.0953366,0,FM,,,,432.3401043,Random
8,16,2022,8/16/2022,41.37873306,-83.09510249,0,FM,,,,315.3140776,Non-Random
7,25,2022,7/25/2022,41.36916,-83.1058,0,FM,,,,276.4388016,Non-Random
6,27,2022,6/27/2022,41.439681,-83.031124,0,M,,,,295.2088247,Random
8,2,2022,8/2/2022,41.36026279,-83.10053867,0,FM,,,,326.5372723,Non-Random
7,13,2022,7/13/2022,41.44823,-83.02622,0,M,,,,484.7330084,Random
6,29,2022,6/29/2022,41.44859067,-83.02817339,0,M,,,,315.2188519,Random
7,13,2022,7/13/2022,41.38530618,-83.08711378,0,UM,,,,395.3130901,Sustained
5,13,2022,5/13/2022,41.6884026,-83.39899312,0,UM,,,,429.5,Non-Random
9,14,2022,9/14/2022,41.42550995,-83.05237369,0,M,,,,88.30033005,Sustained
8,7,2022,8/7/2022,41.43438129,-83.02972977,0,M,,,,1164.274471,Non-Random
6,2,2022,6/2/2022,41.39020428,-83.10242949,0,UM,,,,653.8832154,Non-Random
8,16,2022,8/16/2022,41.36917801,-83.10577235,0,FM,,,,270.3313603,Non-Random
7,21,2022,7/21/2022,41.38951207,-83.1039163,1,UM,,,,429.5,Non-Random
