Index,Type,Year,Depth,SA,Flow_Q,HRT_tau,Dep*SA/Q*365,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
592,CWSF,22,0.169,283000,447571.3872,47.82169518,39.00350983,18.61623152,1.777769901,0.049113151,0.198062335,16.77019556,0.024288072,0.136703083,,4.075962819,0.375536597,0.049862439,0.2060509,,,,
593,CWSF,206,0.63,19430,96672.92016,46.21696016,46.21696016,,,,,0.278402875,0.135950544,0.015508984,,,,,,,,,
594,CWSF,206,0.7,24170,83350.04049,46.06212642,74.09036593,,,,,,,,,0.020936571,0.001117553,0.063617461,0.385008063,,,,
595,CWSF,305,0.39624,220000,425323.6318,45.1,74.80908565,25.0951224,4.691711756,0.037181286,0.096426168,2.0626128,0.165158041,0.055982837,,3.0939192,0.58722859,0.036846558,0.094649212,2.2344972,0.446538407,0.035703905,0.088781432
596,CWSF,204,0.648,70000,386929.2,43.79737385,42.78922345,,,,,,,,,27.67566,0,,,,,,
597,CWSF,305,0.54864,220000,791257.8323,43.6,55.67817493,27.838458,5.901402652,0.035578633,0.085258285,6.905664,0.457304265,0.062264869,,6.689862,0.500857052,0.059450179,0.28341351,4.4023608,0.217763935,0.068956069,0.440738693
598,CWSF,306,0.443637666,3908,14924.85,42.4,42.39999997,,,,,0.12232925,0.110232625,0.002455738,,,,,,,,,
599,CWSF,521,0.23,340,686.2,41.59574468,41.59574468,,,,,0.0006768,0.0001504,0.036159405,,0.0529784,0.0424504,0.005326217,0.005962319,,,,
600,CWSF,204,0.6,70000,375413.45,40.83497808,40.83497808,,,,,,,,,26.60296,7.8244,0.029968803,0.058773143,,,,
601,CWSF,305,0.51816,220000,583890.9767,40.8,71.26030314,38.42585556,3.944218697,0.05579607,0.214272641,1.81144956,0.763397167,0.021179025,,4.0468554,0.305358867,0.063338424,0.300313357,3.6614406,0.089063003,0.091084999,0.983104899
602,CWSF,22,0.182,283000,493822.4247,39.61168112,38.06973734,31.03295825,1.336418337,0.079397202,0.560970664,9.320827666,0.03329156,0.142248515,,4.772028166,0.43279028,0.060595091,0.253111972,,,,
603,CWSF,22,0.182666667,283000,672665.6662,39.33016208,28.05041838,27.00193838,3.4669664,0.052189683,0.172599017,19.7496406,0.069898516,0.143499184,,7.730804543,1.132355961,0.048840698,0.148160737,,,,
604,CWSF,206,0.7,24170,139183.5731,36.08650624,44.36899314,1.529441355,0.261128893,0.048983509,0.134594246,0.014395149,0.009925,0.010303975,,0.048056675,0.004281146,0.067010101,0.283352192,0.016376107,0.002140573,0.056385341,0.184288801
605,CWSF,207,0.33,,0,36,#DIV/0!,,,,,,,,,,,,,,,,
606,CWSF,207,0.33,,0,36,#DIV/0!,,,,,,,,,,,,,,,,
607,CWSF,22,0.217,283000,483478.2386,35.10854931,46.36199359,25.28610045,4.312989624,0.050375865,0.138506946,14.90961145,0.077690348,0.149736472,,4.756186383,1.651714556,0.030124637,0.053535251,,,,
608,CWSF,204,0.6,70000,446043.3833,34.98464974,34.36885418,,,,,,,,,19.17959556,6.36048,,,,,,
609,CWSF,204,0.6,70000,442204.8,34.66719493,34.66719493,,,,,,,,,6.96624,3.48312,,,,,,
610,CWSF,22,0.195916667,283000,577562.8625,33.91037964,35.03897745,30.98086231,4.06120525,0.059919408,0.195470819,16.01302001,0.075999486,0.157781508,,5.62795429,1.549332608,0.038039142,0.077631166,,,,
611,CWSF,13,,4860000,12502801.25,30,0,131.22,33.534,0.045477182,0.097101449,,,,,17.496,3.888,,,,,,
612,CWSF,207,,,0,30,#DIV/0!,,,,,,,,,,,,,,,,
613,CWSF,201,0.135066667,182200,697581.9167,29.89357999,12.87639249,,,,,,,,,2.058252667,0.247184667,0.070900741,0.24509548,,,,
614,CWSF,204,0.6,70000,520511.9,29.45177622,29.45177622,,,,,,,,,23.96958667,7.77392,0.038232372,0.070737103,,,,
615,CWSF,204,0.45,70000,407657.55,28.2038196,28.2038196,,,,,,,,,5.497272,4.497768,0.007115018,0.007879153,,,,
616,CWSF,22,0.188,283000,641644.4645,25.68873242,30.2651407,37.26585035,5.958255102,0.071365907,0.204544564,21.13997107,0.118073588,0.201941176,,4.95320008,2.284407427,0.030127107,0.045477711,,,,
617,CWSF,206,0.63,19430,178037.2387,25.09547178,25.09547178,1.181606326,0.613710215,0.026104599,0.036873145,0.859456479,0.289828772,0.043314981,,0.059996111,0.005853279,0.092736958,0.368592393,0.032680808,0.005260983,0.072780864,0.207683704
618,CWSF,206,0.63,19430,500059.3905,22.42997415,8.934795716,10.52377897,8.589721379,0.009053558,0.010038332,3.101665507,3.387976972,-0.003936418,,0.186358586,0.07516985,0.040478089,0.065945982,0.097877409,0.031320771,0.050799625,0.094739298
619,,54,1.5,730,8491.725,22,47.06640877,,,,,,,,,0.09782,0.080008,0.009136474,0.010119443,,,,
