sys.sample.code,sys.loc.code,soil.type,sample.type,parent.sample.code,bkg.char.group,start.depth,sample.date,chemical.name,detect.lag,final.detect.flag,final.result.value,final.detection.limit,combo.result
3-B4-7,03B04,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Beryllium,Y,Y,0.792,,0.792
3-B2-10,03B02,alluvial,N,,IWOU-AR 03,10,7/30/1990,Beryllium,Y,Y,1.07,,1.07
3-B2-5,03B02,alluvial,N,,IWOU-AR 03,5,7/30/1990,Beryllium,Y,Y,1,,1
3-B8-5,03B08,alluvial,N,,IWOU-AR 03,5,7/30/1990,Beryllium,Y,Y,0.879,,0.879
3-B8-2,03B08,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Beryllium,Y,Y,0.615,,0.615
3-B8-5,03B08,alluvial,N,,IWOU-AR 03,5,7/30/1990,Barium,Y,Y,259,,259
3-B4-2,03B04,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Barium,Y,Y,349,,349
3-B8-10,03B08,alluvial,N,,IWOU-AR 03,10,7/30/1990,Barium,Y,Y,83,,83
3-B4-2,03B04,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Beryllium,Y,Y,0.908,,0.908
3-B8-2,03B08,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Barium,Y,Y,212,,212
3-B2-7,03B02,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Beryllium,Y,Y,1.49,,1.49
3-B2-5,03B02,alluvial,N,,IWOU-AR 03,5,7/30/1990,Barium,Y,Y,296,,296
3-B2-2,03B02,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Barium,Y,Y,199,,199
3-B2-10,03B02,alluvial,N,,IWOU-AR 03,10,7/30/1990,Barium,Y,Y,315.5,,315.5
3-B2-7,03B02,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Barium,Y,Y,257,,257
3-B7-10,03B07,alluvial,N,,IWOU-AR 03,10,7/30/1990,Barium,Y,Y,283,,283
3-B7-7,03B07,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Barium,Y,Y,1400,,1400
3-B4-5,03B04,alluvial,N,,IWOU-AR 03,5,7/30/1990,Barium,Y,Y,317,,317
3-B7-5,03B07,alluvial,N,,IWOU-AR 03,5,7/30/1990,Barium,Y,Y,84.3,,84.3
3-B7-5,03B07,alluvial,N,,IWOU-AR 03,5,7/30/1990,Arsenic,Y,Y,9.29,,9.29
3-B4-5,03B04,alluvial,N,,IWOU-AR 03,5,7/30/1990,Zinc,Y,Y,66.3,,66.3
3-B4-10,03B04,alluvial,N,,IWOU-AR 03,10,7/30/1990,Barium,Y,Y,151,,151
3-B8-2,03B08,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Chromium,Y,Y,19,,19
3-B4-5,03B04,alluvial,N,,IWOU-AR 03,5,7/30/1990,Copper,Y,Y,17.4,,17.4
3-B7-10,03B07,alluvial,N,,IWOU-AR 03,10,7/30/1990,Copper,Y,Y,116,,116
3-B2-10,03B02,alluvial,N,,IWOU-AR 03,10,7/30/1990,Copper,Y,Y,25.25,,25.25
3-B4-10,03B04,alluvial,N,,IWOU-AR 03,10,7/30/1990,Copper,Y,Y,6.73,,6.73
3-B7-7,03B07,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Copper,Y,Y,704,,704
3-B4-7,03B04,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Copper,Y,Y,16,,16
3-B7-5,03B07,alluvial,N,,IWOU-AR 03,5,7/30/1990,Chromium,Y,Y,8.82,,8.82
3-B8-10,03B08,alluvial,N,,IWOU-AR 03,10,7/30/1990,Chromium,Y,Y,13,,13
3-B4-2,03B04,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Chromium,Y,Y,36.4,,36.4
3-B2-2,03B02,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Beryllium,Y,Y,0.942,,0.942
3-B4-10,03B04,alluvial,N,,IWOU-AR 03,10,7/30/1990,Chromium,Y,Y,5.32,,5.32
3-B8-5,03B08,alluvial,N,,IWOU-AR 03,5,7/30/1990,Arsenic,Y,Y,9.73,,9.73
3-B2-5,03B02,alluvial,N,,IWOU-AR 03,5,7/30/1990,Chromium,Y,Y,35.6,,35.6
3-B8-5,03B08,alluvial,N,,IWOU-AR 03,5,7/30/1990,Chromium,Y,Y,25.5,,25.5
3-B4-5,03B04,alluvial,N,,IWOU-AR 03,5,7/30/1990,Chromium,Y,Y,30.1,,30.1
3-B2-2,03B02,alluvial,N,,IWOU-AR 03,2.5,7/30/1990,Chromium,Y,Y,40.7,,40.7
3-B2-7,03B02,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Chromium,Y,Y,39.9,,39.9
3-B7-10,03B07,alluvial,N,,IWOU-AR 03,10,7/30/1990,Chromium,Y,Y,5.54,,5.54
3-B2-10,03B02,alluvial,N,,IWOU-AR 03,10,7/30/1990,Chromium,Y,Y,37.1,,37.1
3-B4-7,03B04,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Chromium,Y,Y,27,,27
3-B7-7,03B07,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Cadmium,Y,Y,3.34,,3.34
3-B4-5,03B04,alluvial,N,,IWOU-AR 03,5,7/30/1990,Beryllium,Y,Y,0.818,,0.818
3-B7-7,03B07,alluvial,N,,IWOU-AR 03,7.5,7/30/1990,Chromium,Y,Y,20.6,,20.6
18IT00218,18GP167,alluvial,N,,Area 18,8,4/30/2003,Cadmium,Y,Y,0.382,,0.382
18IT00245,18GP171,alluvial,N,,Area 18,4,4/30/2003,Chromium,Y,Y,9.78,,9.78
18IT00197,18GP164,alluvial,N,,Area 18,8,4/30/2003,Chromium,Y,Y,14.5,,14.5
18IT00218,18GP167,alluvial,N,,Area 18,8,4/30/2003,Chromium,Y,Y,7.605,,7.605
18IT00188,18GP163,alluvial,N,,Area 18,0,4/30/2003,Chromium,Y,Y,8.24,,8.24
18IT00216,18GP167,alluvial,N,,Area 18,0,4/30/2003,Chromium,Y,Y,10.6,,10.6
18IT00217,18GP167,alluvial,N,,Area 18,4,4/30/2003,Chromium,Y,Y,9.09,,9.09
18IT00244,18GP171,alluvial,N,,Area 18,0,4/30/2003,Chromium,Y,Y,10.4,,10.4
18IT00195,18GP164,alluvial,N,,Area 18,0,4/30/2003,Chromium,Y,Y,13.2,,13.2
18IT00246,18GP171,alluvial,N,,Area 18,8,4/30/2003,Chromium,Y,Y,8.555,,8.555
18IT00196,18GP164,alluvial,N,,Area 18,4,4/30/2003,Nickel,Y,Y,17.3,,17.3
18IT00189,18GP163,alluvial,N,,Area 18,4,4/30/2003,Chromium,Y,Y,9.58,,9.58
18IT00196,18GP164,alluvial,N,,Area 18,4,4/30/2003,Copper,Y,Y,14.4,,14.4
18IT00217,18GP167,alluvial,N,,Area 18,4,4/30/2003,Cadmium,Y,Y,0.463,,0.463
18IT00188,18GP163,alluvial,N,,Area 18,0,4/30/2003,Cadmium,Y,Y,0.334,,0.334
18IT00189,18GP163,alluvial,N,,Area 18,4,4/30/2003,Cadmium,Y,Y,0.465,,0.465
18IT00244,18GP171,alluvial,N,,Area 18,0,4/30/2003,Cadmium,Y,Y,0.533,,0.533
